
15230,tool
15254,ms-secondary-screen-setup
15267,rtsp
15306,xfire
15358,xmpp
15361,ms-settings-cellular
15461,shelter
15579,v-event
15639,iris.beep
15641,wyciwyg
15645,ms-meetnow
15679,ms-search-repair
15741,wasm
15773,ms-settings-camera
15776,ms-virtualtouchpad
15805,xmlrpc.beeps
15972,ipfs
15994,ms-settings-wifi
16051,aw
16069,first-run-pen-experience
16079,oid
16134,iris.xpcs
16138,drop
16194,ms-publisher
16281,leaptofrogans
16292,rmi
16300,soap.beeps
16377,tag
16585,ms-word
16632,onenote-cmd
16645,ms-powerpoint
16728,hxxp
16729,secondlife
16884,rsync
16918,vemmi
16933,ipns
17039,swh
17068,pwid
17097,dtmi
17134,dis
17170,iotdisco
17175,ms-restoretabcompanion
17264,service
17315,finger
17361,web+ap
17381,ms-eyecontrolspeech
